Script,Id,Group_ID
ಮುಂಬೈ ಎಫ್‌ಸಿಯ ಮುಂದಿನ ಪಂದ್ಯ ಯಾವಾಗ ಎಂದು ನೀವು ನನಗೆ ಹೇಳಬಲ್ಲಿರಾ?,24279070,30001
ಇದರಿಂದಲೇ ಪ್ರತಿ ತಿಂಗಳು ಗರ್ಭಾಶಯವು ಮೊಟ್ಟೆಯೊಂದಿಗೆ ಈ ಪದರವನ್ನು ಹೊರಗೆ ಬಿಡುವುದು,23578942,30001
ಗೀತಾ ಕನ್ನಡ ಭಾಷೆಯಲ್ಲಿನ ಭಾರತೀಯ ದೈನಂದಿನ ಧಾರಾವಾಹಿಯಾಗಿದೆ,23442442,30001
ಬುದ್ಧಿವಂತಿಕೆಯು ವಯಸ್ಸಿನ ಜೊತೆಗೆ ಬೆಳೆಯುತ್ತ ಹೋಗುತ್ತದೆ ಎಂಬ ಜನಪ್ರಿಯ ಅಭಿಪ್ರಾಯಕ್ಕೆ ಇದು ವಿರುದ್ಧವಾಗಿ ನಿಲ್ಲುತ್ತದೆ,23443468,30001
ಏಕೆಂದರೆ ಇತರ ಕಂಪನಿಗಳು ತಾರತಮ್ಯವನ್ನು ಪ್ರಚೋದಿಸುತ್ತವೆ ಮತ್ತು ಆ ಕಂಪನಿಯನ್ನು ಬೇರ್ಪಡಿಸುತ್ತವೆ,24051720,30001
ನನಗೆ ಬೆಳಗಾವಿಯಲ್ಲಿರುವ ರಾಯಭಾರ ಕಚೇರಿಗಳನ್ನು ತೋರಿಸಿ.,23633778,30001
ಆಸ್ಟ್ರೇಲಿಯಾದ ಬಲಗೈ ಆಫ್ ಬ್ರೇಕ್ ಬೌಲರ್ ಹಾಗೂ ಕೆಳ ಕ್ರಮಾಂಕದ ಬಲಗೈ ಬ್ಯಾಟ್ಸ್ಮನ್,23464458,30001
ಎ ಯಿಂದ ಪ್ರಾಣಿಶಾಸ್ತ್ರದಲ್ಲಿ ಡಾಕ್ಟರೇಟ್ ಪದವಿಯನ್ನು ಪಡೆದರು,24253410,30001
ಇಂದು ಇದು ದ್ವೀಪಗಳಲ್ಲಿನ ಅತಿ ಹಳೆಯ ಪರಿಸರ ಸಂರಕ್ಷಣಾ ಸಂಸ್ಥೆ,23522484,30001
ಪ್ರಯಾಣಿಕರ ಸೀಟಿನ ಉಳಿಸಲಾದ ಸ್ಥಾನವನ್ನು ಲೋಡ್ ಮಾಡಿ,23638902,30001
ಹಳೆಯ ಬನಶಂಕರಿ ದೇವಾಲಯದ ಗರ್ಭ ಗೃಹವು ಮಣ್ಣಿನಲ್ಲಿ ಹೂತು ಹೋಗಿದೆ,23522842,30001
ಈ ಸಾಹಸಿ ಮಗಳ ಪರವಾಗಿ ತಾಯಿ ಪ್ರಶಸ್ತಿ ಸ್ವೀಕರಿಸಿದರು,23481224,30001
ಪುನಃ ಆಲ್ಬಕರ್ಕ್ ಸ್ವಲ್ಪ ಕಾಲದಲ್ಲೇ ಗೋವವನ್ನು ವಶಪಡಿಸಿಕೊಂಡು ಪೋರ್ಚುಗೀಸರ ಆಡಳಿತವನ್ನು ಸ್ಥಾಪಿಸಿದ,23440656,30001
ಹಿಂದಿಯಲ್ಲಿ ಆಚಾರ್ ಪದದ ಅರ್ಥ ಉಪ್ಪಿನಕಾಯಿ ಎಂದೂ ಆಗಿದೆ,23489492,30001
ವಿಧಾನ ಸೌಧವನ್ನು ತೋರಿಸಿ.,24279420,30001
ಇದು ನೀರಾವರಿ ಇಲಾಖೆಗೆ ಸೇರಿದ್ದು ಪ್ರವಾಸಿಗರಿಗೆ ಉಳಿದುಕೊಳ್ಳಲು ವಸತಿ ಸೌಕರ್ಯವಿದೆ,23381498,30001
ಅನೇಕ ಕೋಟೆಗಳು ಇನ್ನೂ ಅವರ ವಶದಲ್ಲೇ ಇದ್ದುವು,23416238,30001
ಈ ಬಸದಿಯನ್ನು ಎರ್ಮಾಳು ಬೀಡಿನ ಪೂರ್ವಿಕರು ಸುಮಾರು ೭೦೦ ವರ್ಷಗಳ ಹಿಂದೆ ನಿರ್ಮಿಸಿದರು ಎಂದು ಹೇಳುತ್ತಾರೆ,24044056,30001
ಕೇರಳದ ಸಂಗೀತ ಕೌಶಲ ಒಂದು ನಿಶ್ಚಿತವಾದ ಶೈಲಿಯಲ್ಲಿ ಬೆಳೆದುಕೊಂಡು ಬಂದಿದೆ,23481356,30001
ಹುಬ್ಬಳ್ಳಿಯ ಹತ್ತಿರದ ಕಾರು ಬಾಡಿಗೆ ಸೇವೆಗಳನ್ನು ಹುಡುಕಿ.,23655266,30001
ಈ ಸಸ್ಯದ ಹೂವುಗಳು ಐದು ದಳಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ,23340080,30001
ಈ ಸದಸ್ಯರನ್ನು ರಾಜ್ಯ ವಿಧಾನ ಮಂಡಲಕ್ಕೆ ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ,23382228,30001
ಅದಕ್ಕೂ ಮೊದಲೇ ಅವರು ಲಷ್ಕರಿ ಶಾಸನದ ಮುಖ್ಯ ಆಡಳಿತಗಾರರೂ ಸೇನಾ ಮಹಾ ದಂಡನಾಯಕರೂ ಆಗಿದ್ದರು,23549542,30001
ಈ ಮಿತಿ ಮತ್ತು ವ್ಯತ್ಯಾಸಗಳನ್ನು ಮೀರಿಸಲು ಪ್ರಾಯೋಗಿಕ ಬಳಕೆಯಲ್ಲಿ ಹಲವಾರು ನಿರ್ವಹಣಾ ಚಾತುರ್ಯಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ,23349174,30001
ಇಂತಹ ಬೋನ್ಸಾಯ್ ಗಿಡಗಳ ಬಗೆಗಿನ ಅಚ್ಚರಿಯ ಸಂಗತಿಯೆಂದರೆ ಇವು ಒಂದು ಶತಮಾನ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚು ವರ್ಷಗಳ ಕಾಲ ಬದುಕಬಲ್ಲವು,23367862,30001
ಭಾರತೀಯ ಮಾನವು ಮಾಡ್ಯುಲರ್ ಇಟ್ಟಿಗೆಗಳನ್ನು ಬಳಸಲು ನಿರ್ದೇಶಿಸಿದೆ,23405874,30001
ಜನರಲ್ ಮೋಟರ್ಸ್ ೧೯೦೮ರಲ್ಲಿ ಸ್ಥಾಪನೆಗೊಂಡ ಒಂದು ಮೋಟಾರು ವಾಹನ ತಯಾರಿಸುವ ಕಂಪನಿ,24174022,30001
ಬಯಲು ಸೀಮೆಯಲ್ಲಿ ಇದು ಛತ್ರಿಯಾಕಾರದ ಮರವಾಗಿ ಬೆಳೆಯುತ್ತದೆ,23529994,30001
ಒಳಗಿನ ಪ್ರಾರ್ಥನಾ ಮಂಟಪದಲ್ಲಿ ನಾಲ್ಕು ಕಂಬಗಳಿರುವ ಮಂಟಪ ಇಲ್ಲ,23546424,30001
ಆ ಸಮಯದಲ್ಲಿ ಪುರಾತನ ಸಿಂಧೂ ನದಿಯ ಹಿಂದಿನ ಹರಿವಿನ ಅಸ್ತಿತ್ವವನ್ನು ಸೂಚಿಸುವ ಕುರುಹು ಕಾಣುವುದು,23485518,30001
ವೈಕುಂಠದ ಅಧಿಪತಿಯಾದ ಮಹಾವಿಷ್ಣುವು ದುಷ್ಟಶಕ್ತಿಗಳನ್ನು ಸಂಹರಿಸಲು ರಾಮನ ಅವತಾರ ಎತ್ತಿದ ಯುಗವೆಂದು ಹೇಳಲಾಗುತ್ತದೆ,23437004,30001
ದಫ್ತರ್ ಗಳಲ್ಲಿ ಅದರ ಬಗ್ಗೆ ದಿನವೆಲ್ಲಾ ಚರ್ಚೆ ನಡೆಯುತ್ತಿರುತ್ತದೆ,23542686,30001
ಹಾಡುಗಾರರು ತಮಗೆ ಸುಂದರವಾಗಿ ಕಾಣುವ ಇಷ್ಟವಾದ ಉಡುಗೆ ತೊಡುಗೆಗಳನ್ನು ಧರಿಸುತ್ತಾರೆ,23438796,30001
ದ್ವೀಪಕ್ಕೆ ಭೇಟಿ ನೀಡುವ ಯುರೊಪ್ ದೇಶದ ಎಲ್ಲರೊಂದಿಗೆ ಸೇರಿ ಗುರ್ನಸಿ ಪ್ರತಿವರ್ಷ ಕ್ರೀಡೆಗಳನ್ನು ಆಯೋಜಿಸುತ್ತದೆ,23533916,30001
ಆದರೆ ಈ ನಿಯಮವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಸೋಲಿಸುವುದರಲ್ಲಿ ಇದುವರೆಗೂ ಅಸಮರ್ಥನಾಗಿದ್ದಾನೆ,23374560,30001
ಕಾಡಿನಲ್ಲಿ ಪ್ರತಿಯೊಂದು ಪ್ರಾಣಿಯನ್ನು ಹಿಡಿಯುವ ಪ್ರಕ್ರಿಯೆಯಲ್ಲಿ ಅನೇಕ ಇತರ ಪ್ರಾಣಿಗಳನ್ನು ಕೂಡ ಕೊಲ್ಲಲಾಗುತ್ತದೆ,24219536,30001
ಜ್ವಾಲೆಯ ಮರ ಎಂದು ಕರೆಯಲ್ಪಡುವ ಹಲವಾರು ವೃಕ್ಷಗಳಲ್ಲಿ ಇದೂ ಒಂದಾಗಿದೆ,23426410,30001
ಲೂಟಿ ಮಾಡುವವರು ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರದ ಪ್ರದೇಶಗಳನ್ನು ನಾಶ ಮಾಡುತ್ತಾರೆ,23515992,30001
ಹೆಚ್ಚು ಜನಪ್ರಿಯವಾಗಿ ದಾಬೋಲಿಮ್ ನಿಲ್ದಾಣವೆಂದು ಕರೆಯಲ್ಪಡುವ ಈ ವಿಮಾನ ನಿಲ್ದಾಣವು ಗೋವಾದ ದಾಬೋಲಿಮ್ ಎಂಬ ಪ್ರದೇಶದಲ್ಲಿ ನೆಲೆಸಿದೆ,23441358,30001
ನವೀ ಮುಂಬಯಿ ಜಗತ್ತಿನ ದೊಡ್ಡ ಯೋಜನಾಬದ್ಧ ನಗರವಾಗಿದೆ,23402030,30001
ಸೇ ಹಲವಾರು ಆರ್ಥಿಕ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಅಭಿವೃದ್ದಿ ಪಡಿಸಿದ್ದಾನೆ,23387958,30001
ಭೂತನಾಳ ಕೆರೆಯು ಕರ್ನಾಟಕ ರಾಜ್ಯದ ವಿಜಯಪುರ ಜಿಲ್ಲೆಯ ವಿಜಯಪುರ ತಾಲ್ಲೂಕಿನಲ್ಲಿದೆ,23424864,30001
ವಿವಿಧ ರೀತಿಯ ಸಂಬಂಧಿತ ಸೇವೆಗಳನ್ನು ಒದಗಿಸಲು ಸಾಂಪ್ರದಾಯಿಕ ನಿರ್ವಹಣಾ ಲೆಕ್ಕಪತ್ರ ಲೋಕದ ಆಚೆಗಿರುವ ತಮ್ಮ ವೃತ್ತಿಯನ್ನು ವಿಸ್ತರಿಸುತ್ತವೆ,23485050,30001
ಪ್ರಾಚೀನ ಕಾಲದಿಂದಲೂ ಶ್ರೀಶೈಲ ಯಾತ್ರೆಯು ಮೋಕ್ಷದಾಯಕವೆಂದು ಭಕ್ತರ ನಂಬಿಕೆ,23377676,30001
ನನಗೆ ಎಂಜಿ ರೋಡ್‌ನಲ್ಲಿ ಶಾಪಿಂಗ್ ಮಾಲ್‌ಗಳನ್ನು ಹುಡುಕಲು ಸಹಾಯ ಮಾಡಿ.,23632840,30001
ಹೆಚ್ಚಿನ ಅವಮಾನವನ್ನು ಸಹಿಸಲಾಗದೆ ಸತಿಯು ಯಜ್ಞದ ಬೆಂಕಿಗೆ ಹಾರಿ ತನ್ನ ಪ್ರಾಣವನ್ನು ತೆಗೆದುಕೊಂಡಳು,23343590,30001
ನಂತರ ಅದರಿಂದ ನೇಯಲು ಅಥವಾ ಹೆಣೆಯಲು ಬೇಕಾಗುವ ನೂಲನ್ನು ತೆಗೆಯಲಾಗುತ್ತದೆ,23506914,30001
ಮೂರು ವರ್ಷದ ಮಗುವಿನಲ್ಲಿ ಈ ರೀತಿಯ ಬೆಳವಣಿಗೆಯಾಗುತ್ತದೆ,23580550,30001
ಈ ಪ್ರದೇಶದಲ್ಲಿ ಚರ್ಚುಗಳನ್ನು ಹುಡುಕಿ.,23587390,30001
ನನಗೆ ಹಿಂದಿನ ವರ್ಷದ ಯುಗಾದಿ ದಿನಾಂಕವನ್ನು ಹೇಳಿ.,23634346,30001
ಅವರ ಸಹಾಯದಿಂದ ಭರಣಿ ಸಣ್ಣ ಸಂಭಾಷಣೆಗಳನ್ನು ಮತ್ತು ದೃಶ್ಯ ದೃಶ್ಯಗಳನ್ನು ಬರೆಯಲು ಪ್ರಾರಂಭಿಸಿದರು,23386966,30001
ಪ್ರತಿಯೊಂದು ಹೆಜ್ಜೆ ಮತ್ತು ಚಲನೆಯು ವಿಶಿಷ್ಟವಾದ ಯುದ್ಧ ತಂತ್ರಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಚಿತ್ರಿಸುತ್ತದೆ,23546260,30001
ಚಿತ್ರದಲ್ಲಿ ಚಿರಂಜೀವಿ ಸರ್ಜಾ ಮತ್ತು ರಾಗಿಣಿ ದ್ವಿವೇದಿ ಮುಖ್ಯ ಭೂಮಿಕೆಯಲ್ಲಿದ್ದಾರೆ,23513752,30001
ಮಾನಸಿಕ ಅಸ್ವಸ್ಥತೆಯನ್ನು ವಿವಿಧ ಬಗೆಯ ದೃಷ್ಟಿಕೋನಗಳಿಂದ ನೋಡಬಹುದಾಗಿದೆ,23490022,30001
ಪ್ಯಾಸೆಂಜರ್ ಸೈಡ್ ಹಿಂಬದಿಯ ಸೀಟಿನ ಸೊಂಟದ ಆಧಾರವನ್ನು ಹೆಚ್ಚಿಸಿ,23637844,30001
ಪ್ರಾಚೀನ ಶಿಲಾಯುಗದ ಅವಶೇಷಗಳ ಶೋಧನೆಯ ಕಾರ್ಯದಲ್ಲಿ ತೊಡಗಿಸಿಕೊಂಡರು,23564282,30002
ರಾಷ್ಟ್ರೀಯ ಕಾನೂನು ರಚನೆಯ ಮೂಲಕ ತೀವ್ರ ಪ್ರಮಾಣದಲ್ಲಿ ಜೈವಿಕ ಸಂರಕ್ಷಣೆಯನ್ನು ಮಾಡಿದ ಮೊದಲ ರಾಷ್ಟ್ರವೆಂದರೆ ಅಮೆರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ,23358166,30002
ಸೂರ್ಯ ದೇವರು ಎಲ್ಲಾ ಜೀವಿಗಳ ಆತ್ಮ ಮತ್ತು ಮೂಲವೆಂದು ಗುರುತಿಸುತ್ತದೆ,24041032,30002
ತನ್ನ ಚಾರಿತ್ರ್ಯವನ್ನು ಸೀತೆ ಮಾಯಾಮೃಗ ಪ್ರಸಂಗದಲ್ಲಿ ಶಂಕಿಸಿದ ನಂತರ ಲಕ್ಷ್ಮಣ ಜೀವನಪರ್ಯಂತ ಅವಳೊಡನೆ ಮಾತು ಬಿಡುತ್ತಾನೆ,23376246,30002
ಅದು ಹೆಚ್ಚಾಗಿ ಧಾರ್ಮಿಕ ವಿಷಯಗಳನ್ನು ಬೋಧಿಸುವ ಶಾಲೆ,23435980,30002
ಈ ಪ್ರದೇಶದಲ್ಲಿ ರಾಕ್ಷಸನನ್ನು ದೇವಿ ಕೊಂದಿದ್ದರಿಂದ ಮೈಸೂರು ಎಂಬ ಹೆಸರು ಬಂದಿದೆ,23338736,30002
ಶ್ರುತಿಯವರ ಆಫೀಸ್ ನಂಬರಿಗೆ ಸಂದೇಶ ಕಳಿಸಬಹುದೇ,24279650,30002
೧೮೭೦ ರಲ್ಲಿ ಬೊಹ್ರಾ ಪುರೋಹಿತರ ವಿರುದ್ಧ ಮಾಡಿದ ಸುಧಾರಣಾ ಆಂದೋಳನದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಬೊಹ್ರಾ ಧರ್ಮದಿಂದ ಅವರನ್ನು ಹೊರಗೆ ಹಾಕಲಾಗಿತ್ತು,24197560,30002
ಕಪ್ಪು ಇಲಿಯು ಕಪ್ಪು ಬಣ್ಣದಿಂದ ತಿಳಿ ಕಂದು ಬಣ್ಣದಲ್ಲಿ ಕೆಳಭಾಗವನ್ನು ಹೊಂದಿರುತ್ತದೆ,23560856,30002
ಇದು ಒಂದು ಅತಿ ತೀವ್ರವಾದ ಮತ್ತು ಹೆಚ್ಚು ಸಾಮಾನ್ಯವಾಗಿ ಕಾಣಿಸಿಕೊಳ್ಳುವ ರೋಗ,23480032,30002
ಕೈಗಾರಿಕಾ ಸಹಕಾರ ಸಂಘಗಳು ನಿಯಂತ್ರಿತ ಮಾರುಕಟ್ಟೆ ಮತ್ತು ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕುಗಳಿವೆ,23378102,30002
ಅಂಕೀಯ ನೀರುಗುರುತು ಮಾಡುವಿಕೆಯ ಕೌಶಲಗಳನ್ನು ಹಲವಾರು ವಿಧದಲ್ಲಿ ವರ್ಗೀಕರಿಸಬಹುದು,23486124,30002
ಅವರು ಕೆಲವು ಕಾಲ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರದ ಎರಡನೇ ಅವಧಿಯಲ್ಲಿ ರಸ್ತೆ ಮತ್ತು ಕಟ್ಟಡಗಳ ಸಚಿವರಾಗಿದ್ದರು,23435778,30002
ರಾಜ್ಯಸಭೆಯಲ್ಲಿ ಪರಿಣಾಮಕಾರಿ ಬಹುಮತದಿಂದ ಅಂಗೀಕರಿಸಲ್ಪಟ್ಟ ನಿರ್ಣಯದ ಮೂಲಕ ಅವುಗಳನ್ನು ತೆಗೆದುಹಾಕಬಹುದು,23381928,30002
ಅವುಗಳ ವೇಗವು ತಾಪಮಾನದ ಮೇಲೆ ಸಾಕಷ್ಟು ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ,23498930,30002
ಈ ಕ್ಯಾಲೆಂಡರ್ ಅನ್ನು ಜೈಪುರದ ವಿಶ್ವ ಹಿಂದೂ ಪರಿಷತ್ತಿನ ಪ್ರಾಂತದ ಪೋಷಕರಿಂದ ಸಿದ್ಧಪಡಿಸಲಾಗಿದೆ,23329306,30002
ಕರಿಯ ಮತದಾರರ ಹೆಸರನ್ನು ಮತದಾರರ ಪಟ್ಟಿಗಳಿಂದ ಬಲವಂತವಾಗಿ ತೆಗೆದುಹಾಕಲಾಯಿತು,23330356,30002
Amaresh ಅವರ ಕಚೇರಿಗೆ ಕರೆ ಮಾಡಬಹುದೇ?,24274484,30002
ಎಲ್ಲಾ ಬಲ ಸೀಟುಗಳನ್ನು ಕೆಳಕ್ಕೆ ಸರಿಸಿ,23590322,30002
ಈ ತ್ರಿಪಕ್ಷ ದೋಷಗಳನ್ನು ನಿವಾರಿಸುವ ಹಾಗೂ ಕಾರ್ಮಿಕರ ಸ್ಥಾನಮಾನಗಳನ್ನು ಕಾಪಾಡುವುದರ ಅಗತ್ಯವನ್ನು ಜಗತ್ತು ಕಂಡುಕೊಂಡದ್ದು ನೂರೈವತ್ತು ವರ್ಷಗಳ ಹಿಂದೆಯೇ,23448884,30002
ಹೀಗೆ ಬಸಿದು ತೆಗೆದ ನೀರಿನಲ್ಲಿ ಜೀವಸತ್ವ ಕರಗಿರುತ್ತದೆ,23426808,30002
ದಯವಿಟ್ಟು ನನ್ನ ಸುತ್ತಮುತ್ತ ಯಾವುದಾದರೂ ಬ್ಯೂಟಿ ಪಾರ್ಲರ್‌ಗಳಿವೆಯೇ?,23618538,30002
ಹಲವರು ವಿಷಯುಕ್ತ ಹಸಿರು ಸಸ್ಯವನ್ನು ವಿಷಯುಕ್ತ ಓಕ್ ಗಿಡಕ್ಕೆ ಹೋಲಿಕೆ ಮಾಡುತ್ತಾರೆ,23442334,30002
ಕೇಂದ್ರ ಸರ್ಕಾರದ ನೆರವು ಮತ್ತು ಮಾರ್ಗದರ್ಶನ ಇಂಡಿಯನ್ ಕೌನ್ಸಿಲ್ ಆಫ್ ಅಗ್ರಿಕಲ್ಚರಲ್ ರಿಸರ್ಚ್ ಮೂಲಕ ಈ ಕಾರ್ಯಗಳಿಗೆ ದೊರೆಯುತ್ತಿದೆ,23440106,30002
ದುಗ್ಧಕಣಗಳು ರಕ್ತಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ದುಗ್ಧನಾಳ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಕಂಡುಬರುತ್ತವೆ,24032412,30002
ಮಧ್ಯದ ಸಾಲಿನ ನಡುವಿನ ಸೀಟಿನ ಹೀಟರ್ ಅನ್ನು ಕೆಳಮಟ್ಟಕ್ಕೆ ಇಡು,23644138,30002
ಇವರ ಹಲವಾರು ಕೃತಿಗಳು ಅಮೇರಿಕದ ಸಾಹಿತ್ಯದ ಶ್ರೇಷ್ಠ ಕೃತಿಗಳೆಂದು ಪರಿಗಣಿತವಾಗಿವೆ,23523710,30002
ಕರ್ನಾಟಕ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಹೂಡಿಕೆ ಅಸಮತೋಲನ ಸಂಬಂಧಿಸಿದಂತೆ ನಾಗೇಶ್ ಪ್ರಭುರವರ ಬರಹ,23408332,30002
ರೇರ್ ಬಾಗಿಲುಗಳನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಿ ಮತ್ತು ಡಿಕ್ಕಿ ತೆರೆ,23649076,30002
ತಮ್ಮ ಚೊಚ್ಚಲ ಅಂತರರಾಷ್ಟ್ರೀಯ ಟೆಸ್ಟ್ ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಇವರು ಅರ್ಧ ಶತಕ ಬಾರಿಸಿದರು,23345310,30002
ಇದೂ ಕಣಶಿಲೆಯ ಸಾಮಾನ್ಯ ರೀತಿಯ ಚಿಕ್ಕ ಕಟ್ಟಡ,23436174,30002
ಯಾವ ಪ್ರದೇಶದಲ್ಲಿ ರಿಡ್ಜ್ ಗಳು ನೀರಿನ ಮಟ್ಟಕ್ಕಿಂತ ಮೇಲೆ ಇರುವವೋ ಅಲ್ಲಿ ಜ್ವಾಲಾಮುಖಿ ಚಟುವಟಿಕೆಗಳು ದ್ವೀಪಗಳನ್ನು ನಿರ್ಮಿಸುತ್ತವೆ,23395052,30002
ವಿಜಯಶ್ರೀ ಪ್ರಶಸ್ತಿ ಅತ್ತಿಮಬ್ಬೆ ಪ್ರಶಸ್ತಿ ಭಾರತಮಾತಾ ಪ್ರಶಸ್ತಿ,23429468,30002
ಆಯಕಟ್ಟಿನ ದೃಷ್ಟಿಯಿಂದ ಈ ಪ್ರದೇಶಕ್ಕೆ ಹೆಚ್ಚಿನ ಪ್ರಾಮುಖ್ಯ,23347232,30002
ಭಾರತದಲ್ಲಿ ಸುಮಾರು ೧೬ನೇ ಶತಮಾನದಿಂದ ಇದನ್ನು ಕೃಷಿ ಮಾಡಲಾಗಿದೆ ಎಂದು ಅಂದಾಜು ಮಾಡಲಾಗಿದೆ,24171814,30002
ಕಥೆ ಸುಧಾ ಅಕ್ಷಯ್ ಮುರಿದು ಅನುಕ್ರಮಗಳು ಸರಣಿ ತೋರಿಸಲಾಗಿದೆ ಅವಳು ಅವನನ್ನು ಕೊಂದು ಕಾರಣ ವಿವರಿಸುವಾಗ ಒಂದು ಫ್ಲ್ಯಾಷ್ಬ್ಯಾಕ್ ಹೋಗುತ್ತದೆ,23388050,30002
ಜೇಡಿಯು ಮಣ್ಣಿನಲ್ಲಿ ಪೋಷಕಾಂಶ ಮತ್ತು ನೀರನ್ನು ಹಿಡಿದಿಡಲು ಸಹಕರಿಸುತ್ತದೆ,23539512,30002
ಇವರು ಬೆಳದದ್ದು ಈಗಿನ ಚೆನ್ನೈ ಎನ್ನುವ ಮದರಾಸಿನಲ್ಲಿ,23583284,30002
ಕೆಲವೊಮ್ಮೆ ಗರ್ಭಕೋಶ ಕುಗ್ಗದೆ ತಾಯಿಯ ಜೀವಕ್ಕೆ ಅಪಾಯಕರ ಸ್ಥಿತಿ ಇದ್ದರೆ ಗರ್ಭಕೋಶವನ್ನೇ ತೆಗೆಯಬೇಕಾಗಬಹುದು,23333138,30002
ಸ್ವಲ್ಪ ಕಾಲಾನಂತರ ಒರಟಾದ ಮಡಿಕೆಗಳ ಬಳಕೆಯೂ ಕಂಡುಬರುತ್ತದೆ,23344668,30002
ಇಲ್ಲಿ ಗಂಗೆಯ ಪೂಜೆ ಮಾಡಿಸಲು ಪೂಜಾರಿಗಳು ಅನೇಕರು ಹಿಂದೆ ಹಿಂದೆ ಬರುತ್ತಾರೆ,23557074,30002
ಅಂತರರಾಷ್ಟ್ರೀಯ ಪ್ರಯಾಣವು ಸಾಮಾನ್ಯವಾದ ಕಾರಣ ಗಮನಾರ್ಹವಾದ ಅಂತರರಾಷ್ಟ್ರೀಯ ಪ್ರಭಾವವಿದೆ,23450792,30002
ವಿಶ್ವವಿದ್ಯಾನಿಲಯವು ಹಲವಾರು ಕಾಲೇಜುಗಳ ವಿವಿಧ ಕೋರ್ಸುಗಳಿಗೆ ಸಹಯೋಗ ನೀಡಿದೆ,23391414,30002
ಪ್ರತಿಭೂತಿಗಳ ಮಾರುಕಟ್ಟೆ ಬೆಲೆಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಬದಲಾಗುತ್ತ ಇರುತ್ತವೆ,23488172,30002
